"","CodigoMateria","DataApresentacao","AnoMateria","Legislatura","class_tematica","TipoIniciativa","Autor","autor_un","Sexo","partido","uf","regiao"
"95",123276,"2015-09-23",2015,"55ª","Proteção aos Animais","Individual","Senador Marcelo Crivella (REPUBLICANOS/RJ)","Marcelo Crivella","M","REPUBLICANOS","RJ","Sudeste"
"96",123372,"2015-09-29",2015,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR","Norte"
"97",123558,"2015-10-07",2015,"55ª","Proteção aos Animais","Individual","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT","Centro-Oeste"
"98",123822,"2015-10-28",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Otto Alencar (PSD/BA)","Otto Alencar","M","PSD","BA","Nordeste"
"99",123985,"2015-11-10",2015,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT","Centro-Oeste"
"100",119621,"2015-02-04",2015,"55ª","Recursos Hídricos","Individual","Senador Ivo Cassol (PP/RO)","Ivo Cassol","M","PP","RO","Norte"
"101",120763,"2015-04-15",2015,"55ª","Recursos Hídricos","Individual","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO","Centro-Oeste"
"102",120777,"2015-04-16",2015,"55ª","Recursos Hídricos","Individual","Senador Fernando Bezerra Coelho (PSB/PE)","Fernando Bezerra Coelho","M","PSB","PE","Nordeste"
"103",120890,"2015-04-27",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO","Norte"
"104",121398,"2015-05-26",2015,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Davi Alcolumbre (DEM/AP)","Davi Alcolumbre","M","DEM","AP","Norte"
"105",123827,"2015-10-28",2015,"55ª","Sustentabilidade e Energias Renováveis","Individual","Senador Cristovam Buarque (PDT/DF)","Cristovam Buarque","M","PDT","DF","Centro-Oeste"
"106",123890,"2015-11-03",2015,"55ª","Sustentabilidade e Energias Renováveis","Individual","Senador Cristovam Buarque (PDT/DF)","Cristovam Buarque","M","PDT","DF","Centro-Oeste"
"107",123984,"2015-11-10",2015,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT","Centro-Oeste"
"108",124351,"2015-12-07",2015,"55ª","Recursos Hídricos","Coletiva","Comissão de Meio Ambiente","Comissão de Meio Ambiente",NA,NA,NA,NA
"109",120576,"2015-04-08",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Otto Alencar (PSD/BA)","Otto Alencar","M","PSD","BA","Nordeste"
"110",120625,"2015-04-08",2015,"55ª","Crimes e Infrações Ambientais","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"111",120737,"2015-04-15",2015,"55ª","Educação Ambiental","Individual","Senador Cássio Cunha Lima (PSDB/PB)","Cássio Cunha Lima","M","PSDB","PB","Nordeste"
"112",122035,"2015-06-30",2015,"55ª","Recursos Hídricos","Individual","Senador Flexa Ribeiro (PSDB/PA)","Flexa Ribeiro","M","PSDB","PA","Norte"
"113",122105,"2015-07-02",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO","Norte"
"114",122532,"2015-08-04",2015,"55ª","Recursos Hídricos","Individual","Senadora Sandra Braga (MDB/AM)","Sandra Braga","F","MDB","AM","Norte"
"115",123360,"2015-09-29",2015,"55ª","Proteção aos Animais","Individual","Senadora Gleisi Hoffmann (PT/PR)","Gleisi Hoffmann","F","PT","PR","Sul"
"116",124055,"2015-11-17",2015,"55ª","Crimes e Infrações Ambientais","Individual","Senador Antonio Anastasia (PSDB/MG)","Antonio Anastasia","M","PSDB","MG","Sudeste"
"117",120078,"2015-03-12",2015,"55ª","Recursos Hídricos","Individual","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO","Centro-Oeste"
"118",123086,"2015-09-09",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Donizeti Nogueira (PT/TO)","Donizeti Nogueira","M","PT","TO","Norte"
"119",124174,"2015-11-24",2015,"55ª","Crimes e Infrações Ambientais","Individual","Senador Randolfe Rodrigues (REDE/AP)","Randolfe Rodrigues","M","REDE","AP","Norte"
"120",124325,"2015-12-03",2015,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO","Norte"
"121",119665,"2015-02-10",2015,"55ª","Recursos Hídricos","Individual","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO","Centro-Oeste"
"122",120094,"2015-03-16",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"123",120893,"2015-04-27",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO","Norte"
"124",121525,"2015-06-01",2015,"55ª","Recursos Hídricos","Individual","Senador Donizeti Nogueira (PT/TO)","Donizeti Nogueira","M","PT","TO","Norte"
"125",121524,"2015-06-01",2015,"55ª","Recursos Hídricos","Individual","Senador Donizeti Nogueira (PT/TO)","Donizeti Nogueira","M","PT","TO","Norte"
