"","AnoMateria","DataApresentacao","Autor","autor_un","Sexo","partido","uf"
"137",2016,"2016-11-07","Senador Raimundo Lira (MDB/PB)","Raimundo Lira","M","MDB","PB"
"138",2016,"2016-02-16","Senador Randolfe Rodrigues (REDE/AP)","Randolfe Rodrigues","M","REDE","AP"
"139",2016,"2016-05-31","Senador Garibaldi Alves Filho (MDB/RN)","Garibaldi Alves Filho","M","MDB","RN"
"140",2016,"2016-05-31","Senador Ricardo Ferraço (PSDB/ES)","Ricardo Ferraço","M","PSDB","ES"
"141",2016,"2016-08-11","Senador Cidinho Santos (PL/MT)","Cidinho Santos","M","PL","MT"
"142",2016,"2016-04-12","Senador José Serra (PSDB/SP)","José Serra","M","PSDB","SP"
"143",2017,"2017-10-03","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO"
"144",2017,"2017-12-12","Senador Sérgio de Castro (PDT/ES)","Sérgio de Castro","M","PDT","ES"
"145",2017,"2017-03-22","Senador Elmano Férrer (MDB/PI)","Elmano Férrer","M","MDB","PI"
"146",2017,"2017-05-02","Senador Raimundo Lira (MDB/PB)","Raimundo Lira","M","MDB","PB"
"147",2017,"2017-03-21","Senador Davi Alcolumbre (DEM/AP)","Davi Alcolumbre","M","DEM","AP"
"148",2017,"2017-03-22","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA"
"149",2017,"2017-05-29","Senador Telmário Mota (PTB/RR)","Telmário Mota","M","PTB","RR"
"150",2017,"2017-08-01","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES"
"151",2017,"2017-10-05","Senador Cidinho Santos (PL/MT)","Cidinho Santos","M","PL","MT"
"152",2017,"2017-11-08","Senador Vicentinho Alves (PL/TO)","Vicentinho Alves","M","PL","TO"
"153",2017,"2017-11-21","Senador Telmário Mota (PTB/RR)","Telmário Mota","M","PTB","RR"
"154",2017,"2017-10-24","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO"
"155",2017,"2017-09-14","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES"
"156",2017,"2017-10-03","Senador José Pimentel (PT/CE)","José Pimentel","M","PT","CE"
"157",2017,"2017-03-29","Senador José Medeiros (PSD/MT)","José Medeiros","M","PSD","MT"
"158",2017,"2017-04-05","Senador Flexa Ribeiro (PSDB/PA)","Flexa Ribeiro","M","PSDB","PA"
"159",2017,"2017-12-12","Senador Tasso Jereissati (PSDB/CE)","Tasso Jereissati","M","PSDB","CE"
"160",2018,"2018-06-26","Senador Lasier Martins (PSD/RS)","Lasier Martins","M","PSD","RS"
"161",2018,"2018-08-08","Senador Rudson Leite (PV/RR)","Rudson Leite","M","PV","RR"
"162",2018,"2018-02-06","Senador Lasier Martins (PSD/RS)","Lasier Martins","M","PSD","RS"
"163",2018,"2018-03-07","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES"
"164",2018,"2018-06-26","Senador Rudson Leite (PV/RR)","Rudson Leite","M","PV","RR"
"165",2018,"2018-08-08","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO"
"166",2018,"2018-04-25","Senador Dalirio Beber (PSDB/SC), Senador Paulo Bauer (PSDB/SC), Senador Dário Berger (MDB/SC)","Dalirio Beber","M","PSDB","SC"
"167",2018,"2018-04-25","Senador Dalirio Beber (PSDB/SC), Senador Paulo Bauer (PSDB/SC), Senador Dário Berger (MDB/SC)","Paulo Bauer","M","PSDB","SC"
"168",2018,"2018-04-25","Senador Dalirio Beber (PSDB/SC), Senador Paulo Bauer (PSDB/SC), Senador Dário Berger (MDB/SC)","Dário Berger","M","MDB","SC"
"169",2018,"2018-06-19","Senador Hélio José (PROS/DF)","Hélio José","M","PROS","DF"
"170",2018,"2018-04-10","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO"
"171",2018,"2018-07-10","Senador Gladson Cameli (PP/AC)","Gladson Cameli","M","PP","AC"
"172",2018,"2018-11-27","Senador José Serra (PSDB/SP)","José Serra","M","PSDB","SP"
"173",2018,"2018-11-28","Senador Roberto Rocha (PSDB/MA)","Roberto Rocha","M","PSDB","MA"
"174",2018,"2018-04-05","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES"
"175",2018,"2018-09-04","Senador Pedro Chaves (REPUBLICANOS/MS)","Pedro Chaves","M","REPUBLICANOS","MS"
"176",2018,"2018-09-04","Senador Aécio Neves (PSDB/MG)","Aécio Neves","M","PSDB","MG"
"177",2018,"2018-04-23","Senadora Ana Amélia (PP/RS)","Ana Amélia","F","PP","RS"
"178",2018,"2018-05-22","Senador Eduardo Amorim (PSDB/SE)","Eduardo Amorim","M","PSDB","SE"
"179",2018,"2018-10-09","Senador Hélio José (PROS/DF)","Hélio José","M","PROS","DF"
"180",2018,"2018-10-16","Senador Hélio José (PROS/DF)","Hélio José","M","PROS","DF"
"181",2018,"2018-12-11","Senador Cidinho Santos (PL/MT)","Cidinho Santos","M","PL","MT"
"182",2018,"2018-12-13","Senador Dalirio Beber (PSDB/SC)","Dalirio Beber","M","PSDB","SC"
"183",2018,"2018-05-23","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT"
"184",2018,"2018-12-05","Senador Randolfe Rodrigues (REDE/AP), Senador Eunício Oliveira (MDB/CE)","Randolfe Rodrigues","M","REDE","AP"
"185",2018,"2018-12-05","Senador Randolfe Rodrigues (REDE/AP), Senador Eunício Oliveira (MDB/CE)","Eunício Oliveira","M","MDB","CE"
"186",2018,"2018-11-27","Senador José Medeiros (PODEMOS/MT)","José Medeiros","M","PODEMOS","MT"
